Emp34Id,EmpLastName,EmpFirstName,EmpEmailAddress,EmpPositionDesc,EmpLocationCode,EmpLocationDesc,Mgr34Id,MgrName,MgrTitle,MgrEmailAddress,EmpAnnivDate,EmpPositionIsSuper,Tier,Left,Right
582XHOA,Prosacco,Erik,Prosacco.Erik@hcahealthcare.com,Program Mgr,3545,John Campbellsville Hospital,388ALPV,"Stiedemann, Victor",AVP Data Center Ops,Victor.Stiedemann@hcahealthcare.com,4/12/2013,Y,3,7,8
530ZUFC,Kihn,Karolann,Kihn.Karolann@hcahealthcare.com,Dir Endpoint Services,3545,John Campbellsville Hospital,545TOSX,"Block, Nayeli",AVP End User Computing,Nayeli.Block@hcahealthcare.com,7/7/2000,Y,3,11,12
630LUHQ,Durgan,Dillan,Durgan.Dillan@hcahealthcare.com,Director Cloud Services,3545,John Campbellsville Hospital,545TOSX,"Block, Nayeli",AVP End User Computing,Nayeli.Block@hcahealthcare.com,10/1/1997,Y,3,13,14
808WNHG,Marks,Aliya,Marks.Aliya@hcahealthcare.com,Dir Application Delivery,3545,John Campbellsville Hospital,545TOSX,"Block, Nayeli",AVP End User Computing,Nayeli.Block@hcahealthcare.com,4/7/2017,Y,3,15,16
121KXDA,Krajcik,Ellis,Krajcik.Ellis@hcahealthcare.com,Dir REBA/ADS Development,3545,John Campbellsville Hospital,779SDLF,"Hartmann, Bertram",AVP Big Data,Bertram.Hartmann@hcahealthcare.com,2/23/2004,Y,3,19,50
287UUXU,Reichel,Ramon,Reichel.Ramon@hcahealthcare.com,Dir Meditech Reporting,3545,John Campbellsville Hospital,779SDLF,"Hartmann, Bertram",AVP Big Data,Bertram.Hartmann@hcahealthcare.com,8/27/2007,Y,3,51,52
511SXTI,Corwin,Lois,Corwin.Lois@hcahealthcare.com,Dir Financial Reporting,3545,John Campbellsville Hospital,779SDLF,"Hartmann, Bertram",AVP Big Data,Bertram.Hartmann@hcahealthcare.com,5/28/2002,Y,3,53,54
810TXZX,Sipes,Herta,Sipes.Herta@hcahealthcare.com,Dir Sys,3545,John Campbellsville Hospital,779SDLF,"Hartmann, Bertram",AVP Big Data,Bertram.Hartmann@hcahealthcare.com,5/20/2013,Y,3,55,56
448ZZSP,Grimes,Billie,Grimes.Billie@hcahealthcare.com,AVP Medical Device Integration,3545,John Campbellsville Hospital,841UDPM,"Gaylord, Norene",AVP Integration Svcs,Norene.Gaylord@hcahealthcare.com,9/12/2014,Y,3,59,60
494MXHA,Bins,Rudy,Bins.Rudy@hcahealthcare.com,Dir Integration Development,3545,John Campbellsville Hospital,841UDPM,"Gaylord, Norene",AVP Integration Svcs,Norene.Gaylord@hcahealthcare.com,1/31/1996,Y,3,61,62
626RNLJ,Feil,Rocky,Feil.Rocky@hcahealthcare.com,Dir Integration Support,3545,John Campbellsville Hospital,841UDPM,"Gaylord, Norene",AVP Integration Svcs,Norene.Gaylord@hcahealthcare.com,11/28/1988,Y,3,63,64
669MPYR,Wolff,Eve,Wolff.Eve@hcahealthcare.com,Enterprise Fellow Integration,3545,John Campbellsville Hospital,841UDPM,"Gaylord, Norene",AVP Integration Svcs,Norene.Gaylord@hcahealthcare.com,6/19/2020,,3,65,66
912CYCF,Sauer,Josiah,Sauer.Josiah@hcahealthcare.com,Dir HIE Technologies WFH,2447,Carolina Hartford Hospital,841UDPM,"Gaylord, Norene",AVP Integration Svcs,Norene.Gaylord@hcahealthcare.com,8/16/2013,Y,3,67,68
033RYBL,Lind,Brice,Lind.Brice@hcahealthcare.com,Dir Vunerability Remediation,2447,Carolina Hartford Hospital,892XQYD,"Breitenberg, Irma",AVP,Irma.Breitenberg@hcahealthcare.com,8/9/2013,Y,3,71,88
293WNVW,Kautzer,Cali,Kautzer.Cali@hcahealthcare.com,Dir Solution Delivery,3545,John Campbellsville Hospital,892XQYD,"Breitenberg, Irma",AVP,Irma.Breitenberg@hcahealthcare.com,5/8/2000,Y,3,89,90
799VZAG,Rohan,Dewayne,Rohan.Dewayne@hcahealthcare.com,Dir Design & Engineering,3545,John Campbellsville Hospital,892XQYD,"Breitenberg, Irma",AVP,Irma.Breitenberg@hcahealthcare.com,9/25/2009,Y,3,91,92
922HXSJ,Kuhn,Kenyatta,Kuhn.Kenyatta@hcahealthcare.com,Dir Platform Operations,3545,John Campbellsville Hospital,892XQYD,"Breitenberg, Irma",AVP,Irma.Breitenberg@hcahealthcare.com,7/9/2010,Y,3,93,94
132TFQC,Jacobs,Abigale,Jacobs.Abigale@hcahealthcare.com,Dir UC Implementation,3545,John Campbellsville Hospital,933VMPY,"Cassin, Rose",AVP Network Services,Rose.Cassin@hcahealthcare.com,4/21/1997,Y,3,97,98
257RDSQ,Walker,Jevon,Walker.Jevon@hcahealthcare.com,Dir Network Architecture,3545,John Campbellsville Hospital,933VMPY,"Cassin, Rose",AVP Network Services,Rose.Cassin@hcahealthcare.com,3/10/1997,Y,3,99,100
912SBWN,Beer,Betsy,Beer.Betsy@hcahealthcare.com,Dir Network Engineering,3545,John Campbellsville Hospital,933VMPY,"Cassin, Rose",AVP Network Services,Rose.Cassin@hcahealthcare.com,5/17/2013,Y,3,101,102
358SEHX,Cormier,Pattie,Cormier.Pattie@hcahealthcare.com,Dir Data Quality,3545,John Campbellsville Hospital,974WOYK,"Ernser, Merl",AVP Data Mgmt,Merl.Ernser@hcahealthcare.com,7/3/1995,Y,3,105,106
418LYIC,Kuhlman,Soledad,Kuhlman.Soledad@hcahealthcare.com,Dir Enterprise Data Mgt,3545,John Campbellsville Hospital,974WOYK,"Ernser, Merl",AVP Data Mgmt,Merl.Ernser@hcahealthcare.com,7/10/2015,Y,3,107,108
615FXZZ,Langworth,Angus,Langworth.Angus@hcahealthcare.com,Dir Data Architecture,3545,John Campbellsville Hospital,974WOYK,"Ernser, Merl",AVP Data Mgmt,Merl.Ernser@hcahealthcare.com,3/8/2013,Y,3,109,110
692MUXE,Medhurst,Merritt,Medhurst.Merritt@hcahealthcare.com,Dir Data Transformation,3545,John Campbellsville Hospital,974WOYK,"Ernser, Merl",AVP Data Mgmt,Merl.Ernser@hcahealthcare.com,4/12/2013,Y,3,111,112
984VHPD,Shields,Myles,Shields.Myles@hcahealthcare.com,Dir Enterprise Data Warehouse,3545,John Campbellsville Hospital,974WOYK,"Ernser, Merl",AVP Data Mgmt,Merl.Ernser@hcahealthcare.com,9/25/2009,Y,3,113,114
285MOWA,Mitchell,Kelly,Mitchell.Kelly@hcahealthcare.com,Cons Automation Process An WFH,3556,Brunswick Philadelphia Hospital,033RYBL,"Lind, Brice",Dir Vunerability Remediation,Brice.Lind@hcahealthcare.com,4/25/2022,,4,72,73
288KLYR,Macejkovic,Herbert,Macejkovic.Herbert@hcahealthcare.com,IT Automation Eng II WFH,1107,Lower Farmington Hospital,033RYBL,"Lind, Brice",Dir Vunerability Remediation,Brice.Lind@hcahealthcare.com,10/17/2016,,4,74,75
482IKDL,Goodwin,Frederique,Goodwin.Frederique@hcahealthcare.com,Cons Vulnerability Eng WFH,2570,Charlotte Fairfield Hospital,033RYBL,"Lind, Brice",Dir Vunerability Remediation,Brice.Lind@hcahealthcare.com,3/4/2016,,4,76,77
503LCOI,Shanahan,Juvenal,Shanahan.Juvenal@hcahealthcare.com,Cons Systems Eng UNIX/NT,3545,John Campbellsville Hospital,033RYBL,"Lind, Brice",Dir Vunerability Remediation,Brice.Lind@hcahealthcare.com,7/1/2000,,4,78,79
699RVRE,Frami,Novella,Frami.Novella@hcahealthcare.com,Mgr Enterprise Vulnerability R,3545,John Campbellsville Hospital,033RYBL,"Lind, Brice",Dir Vunerability Remediation,Brice.Lind@hcahealthcare.com,4/12/2013,Y,4,80,81
761ZVDE,Blick,Estefania,Blick.Estefania@hcahealthcare.com,Consult IT Automation Eng,3545,John Campbellsville Hospital,033RYBL,"Lind, Brice",Dir Vunerability Remediation,Brice.Lind@hcahealthcare.com,7/8/1996,,4,82,83
774JFUB,Nikolaus,Johnson,Nikolaus.Johnson@hcahealthcare.com,Sr IT Automation Eng WFH,1529,Ardmore Norwalk Hospital,033RYBL,"Lind, Brice",Dir Vunerability Remediation,Brice.Lind@hcahealthcare.com,1/11/2021,,4,84,85
970DUWI,Ratke,Nolan,Ratke.Nolan@hcahealthcare.com,Cons System Architect,3545,John Campbellsville Hospital,033RYBL,"Lind, Brice",Dir Vunerability Remediation,Brice.Lind@hcahealthcare.com,7/10/2015,,4,86,87
041TBQI,Wiza,Xander,Wiza.Xander@hcahealthcare.com,Technical Resident,3545,John Campbellsville Hospital,121KXDA,"Krajcik, Ellis",Dir REBA/ADS Development,Ellis.Krajcik@hcahealthcare.com,1/23/2023,,4,20,21
044UPEF,Witting,Margie,Witting.Margie@hcahealthcare.com,Sr App System Eng,3545,John Campbellsville Hospital,121KXDA,"Krajcik, Ellis",Dir REBA/ADS Development,Ellis.Krajcik@hcahealthcare.com,4/13/2012,,4,22,23
107MIDK,Gulgowski,Morris,Gulgowski.Morris@hcahealthcare.com,Cons Application Eng WFH,1288,Calistoga Canon Hospital,121KXDA,"Krajcik, Ellis",Dir REBA/ADS Development,Ellis.Krajcik@hcahealthcare.com,3/15/2005,,4,24,25
173WADV,Friesen,Cordie,Friesen.Cordie@hcahealthcare.com,App System Eng II,3379,Springfield Macon Hospital,121KXDA,"Krajcik, Ellis",Dir REBA/ADS Development,Ellis.Krajcik@hcahealthcare.com,7/26/2021,,4,26,27
201LWXL,Kulas,Berenice,Kulas.Berenice@hcahealthcare.com,Cons Product Analyst WFH,2570,Charlotte Fairfield Hospital,121KXDA,"Krajcik, Ellis",Dir REBA/ADS Development,Ellis.Krajcik@hcahealthcare.com,12/1/2016,,4,28,29
308VPYL,Emmerich,Garry,Emmerich.Garry@hcahealthcare.com,Cons Application Eng WFH,1288,Calistoga Canon Hospital,121KXDA,"Krajcik, Ellis",Dir REBA/ADS Development,Ellis.Krajcik@hcahealthcare.com,5/9/2016,,4,30,31
390FGLQ,Volkman,Jarrell,Volkman.Jarrell@hcahealthcare.com,Cons Application Eng WFH,2570,Charlotte Fairfield Hospital,121KXDA,"Krajcik, Ellis",Dir REBA/ADS Development,Ellis.Krajcik@hcahealthcare.com,7/23/1989,,4,32,33
449HMOM,Kuhic,Grady,Kuhic.Grady@hcahealthcare.com,Cons Product Analyst,3545,John Campbellsville Hospital,121KXDA,"Krajcik, Ellis",Dir REBA/ADS Development,Ellis.Krajcik@hcahealthcare.com,10/3/1994,,4,34,35
567LURP,Morar,Trevor,Morar.Trevor@hcahealthcare.com,Cons Application Eng WFH,1288,Calistoga Canon Hospital,121KXDA,"Krajcik, Ellis",Dir REBA/ADS Development,Ellis.Krajcik@hcahealthcare.com,1/4/2010,,4,36,37
607QJOJ,Schmeler,Elta,Schmeler.Elta@hcahealthcare.com,Assoc App System Eng,3379,Springfield Macon Hospital,121KXDA,"Krajcik, Ellis",Dir REBA/ADS Development,Ellis.Krajcik@hcahealthcare.com,9/9/2022,,4,38,39
649NWXZ,Keeling,Ilene,Keeling.Ilene@hcahealthcare.com,Cons Product Analyst,3545,John Campbellsville Hospital,121KXDA,"Krajcik, Ellis",Dir REBA/ADS Development,Ellis.Krajcik@hcahealthcare.com,7/21/2017,,4,40,41
735YVQV,Bayer,Kim,Bayer.Kim@hcahealthcare.com,Dir ReBA Web Apps Dev,3545,John Campbellsville Hospital,121KXDA,"Krajcik, Ellis",Dir REBA/ADS Development,Ellis.Krajcik@hcahealthcare.com,4/15/2013,Y,4,42,43
779GKDZ,Ledner,Lauryn,Ledner.Lauryn@hcahealthcare.com,Cons App System Eng,3545,John Campbellsville Hospital,121KXDA,"Krajcik, Ellis",Dir REBA/ADS Development,Ellis.Krajcik@hcahealthcare.com,4/10/2015,,4,44,45
815YEDV,Collins,Roxane,Collins.Roxane@hcahealthcare.com,Sr App System Eng,3545,John Campbellsville Hospital,121KXDA,"Krajcik, Ellis",Dir REBA/ADS Development,Ellis.Krajcik@hcahealthcare.com,5/15/2017,,4,46,47
872DFLQ,Hayes,Karen,Hayes.Karen@hcahealthcare.com,Cons Product Analyst,3545,John Campbellsville Hospital,121KXDA,"Krajcik, Ellis",Dir REBA/ADS Development,Ellis.Krajcik@hcahealthcare.com,7/15/2011,,4,48,49
